date,campaign_id,campaign_name,channel,ad_group,impressions,clicks,spend,revenue,country,device,ctr,cpc,roas,campaign_id_norm,campaign_key
2023-11-24,C1018,Camp_3,Facebook,AG_27,15895,1625,124.98,4459.36,DE,Desktop,0.1022,0.0769,35.6806,C1018,1
2023-02-27,C1008,Camp_8,LinkedIn,AG_7,960,74,1126.78,2169.09,DE,Mobile,0.0771,15.2268,1.925,C1008,2
2023-01-13,C1021,Camp_6,LinkedIn,AG_25,5490,385,1915.46,4549.72,BR,Tablet,0.0701,4.9752,2.3753,C1021,3
2023-05-21,C1005,Camp_5,Email,AG_8,12064,3281,354.73,1886.59,DE,Tablet,0.272,0.1081,5.3184,C1005,4
2023-05-06,C1030,Camp_15,Instagram,AG_22,11384,474,1381.56,4820.39,DE,Tablet,0.0416,2.9147,3.4891,C1030,5
2023-04-25,C1009,Camp_9,Instagram,AG_25,6365,417,405.86,446.45,BR,Tablet,0.0655,0.9733,1.1,C1009,6
2023-03-13,C1027,Camp_12,Twitter,AG_20,16950,3600,1073.98,3435.1,DE,Desktop,0.2124,0.2983,3.1985,C1027,7
2023-02-22,C1005,Camp_5,Facebook,AG_28,4526,954,197.87,2469.07,DE,Mobile,0.2108,0.2074,12.4782,C1005,4
2023-12-13,C1003,Camp_3,Instagram,AG_26,14523,4971,903.49,1938.24,US,Desktop,0.3423,0.1818,2.1453,C1003,8
2023-10-07,C1002,Camp_2,Twitter,AG_3,11463,4858,1513.55,3163.56,IN,Mobile,0.4238,0.3116,2.0902,C1002,9
2023-02-14,C1006,Camp_6,Facebook,AG_17,16123,1205,698.41,3519.29,FR,Mobile,0.0747,0.5796,5.039,C1006,10
2023-10-30,C1026,Camp_11,Instagram,AG_15,8422,4759,1331.5,21.82,IN,Tablet,0.5651,0.2798,0.0164,C1026,11
2023-08-05,C1010,Camp_10,LinkedIn,AG_17,1785,24,1591.92,834.77,US,Tablet,0.0134,66.33,0.5244,C1010,12
2023-01-17,C1020,Camp_5,LinkedIn,AG_23,869,179,1854.72,3565.23,GB,Tablet,0.206,10.3616,1.9222,C1020,13
2023-01-16,C1024,Camp_9,Facebook,AG_12,2533,709,473.11,3331.93,IN,Mobile,0.2799,0.6673,7.0426,C1024,14
2023-02-17,C1027,Camp_12,Facebook,AG_3,5411,3572,801.64,4830.24,GB,Mobile,0.6601,0.2244,6.0254,C1027,7
2023-04-22,C1019,Camp_4,Instagram,AG_30,5151,4380,309.07,3805.19,US,Tablet,0.8503,0.0706,12.3117,C1019,15
2023-04-30,C1030,Camp_15,Instagram,AG_19,6520,4158,1985.0,4753.86,FR,Mobile,0.6377,0.4774,2.3949,C1030,5
2023-09-16,C1010,Camp_10,Facebook,AG_4,17668,4757,1854.37,3512.7,GB,Desktop,0.2692,0.3898,1.8943,C1010,12
2023-11-05,C1015,Camp_15,Email,AG_2,19869,2713,1082.21,1490.26,US,Tablet,0.1365,0.3989,1.3771,C1015,16
2023-01-14,C1004,Camp_4,Facebook,AG_27,6496,2203,1684.86,526.82,DE,Desktop,0.3391,0.7648,0.3127,C1004,17
2023-10-15,C1015,Camp_15,Twitter,AG_18,8766,3120,1044.31,3909.12,FR,Desktop,0.3559,0.3347,3.7433,C1015,16
2023-04-12,C1023,Camp_8,Twitter,AG_29,19042,966,1249.05,3220.75,BR,Desktop,0.0507,1.293,2.5786,C1023,18
2023-11-29,C1010,Camp_10,Twitter,AG_17,18531,4944,182.8,240.93,DE,Desktop,0.2668,0.037,1.318,C1010,12
2023-12-26,C1023,Camp_8,LinkedIn,AG_7,2847,1107,1511.76,1800.25,FR,Tablet,0.3888,1.3656,1.1908,C1023,18
2023-10-07,C1013,Camp_13,LinkedIn,AG_19,289,176,259.79,4784.0,FR,Desktop,0.609,1.4761,18.4149,C1013,19
2023-08-03,C1009,Camp_9,Twitter,AG_18,19218,4243,1653.0,2502.01,IN,Tablet,0.2208,0.3896,1.5136,C1009,6
2023-04-23,C1017,Camp_2,Twitter,AG_5,3105,341,1565.15,2163.65,FR,Tablet,0.1098,4.5899,1.3824,C1017,20
2023-08-18,C1018,Camp_3,Email,AG_6,1999,475,1418.95,2288.5,IN,Desktop,0.2376,2.9873,1.6128,C1018,1
2023-10-29,C1016,Camp_1,Facebook,AG_11,1367,1086,77.14,1044.41,GB,Mobile,0.7944,0.071,13.5391,C1016,21
2023-05-23,C1015,Camp_15,LinkedIn,AG_28,18012,1724,609.74,1843.54,FR,Mobile,0.0957,0.3537,3.0235,C1015,16
2023-01-04,C1003,Camp_3,Twitter,AG_17,11494,4422,529.91,1849.07,GB,Desktop,0.3847,0.1198,3.4894,C1003,8
2023-03-23,C1020,Camp_5,Email,AG_15,3656,1792,723.47,261.78,FR,Desktop,0.4902,0.4037,0.3618,C1020,13
2023-12-24,C1002,Camp_2,Google,AG_4,3990,1759,179.85,3837.84,IN,Mobile,0.4409,0.1022,21.3391,C1002,9
2023-08-05,C1029,Camp_14,Instagram,AG_22,8938,3212,1874.23,2082.52,BR,Tablet,0.3594,0.5835,1.1111,C1029,22
2023-06-24,C1014,Camp_14,Twitter,AG_7,14602,989,1109.84,4110.9,DE,Tablet,0.0677,1.1222,3.704,C1014,23
2023-05-23,C1024,Camp_9,LinkedIn,AG_23,10727,2262,614.52,4251.74,FR,Tablet,0.2109,0.2717,6.9188,C1024,14
2023-03-21,C1011,Camp_11,Twitter,AG_19,8892,2482,796.98,1059.97,US,Tablet,0.2791,0.3211,1.33,C1011,24
2023-04-21,C1020,Camp_5,Google,AG_16,10655,951,897.17,3286.77,DE,Desktop,0.0893,0.9434,3.6635,C1020,13
2023-06-22,C1009,Camp_9,Facebook,AG_3,10353,722,1203.19,2361.41,IN,Mobile,0.0697,1.6665,1.9626,C1009,6
2023-02-22,C1001,Camp_1,LinkedIn,AG_29,8533,3389,1033.78,4400.78,BR,Desktop,0.3972,0.305,4.257,C1001,25
2023-02-17,C1003,Camp_3,Facebook,AG_17,10333,2079,1839.19,1078.7,BR,Desktop,0.2012,0.8847,0.5865,C1003,8
2023-07-14,C1008,Camp_8,Instagram,AG_15,11116,2717,996.44,3389.07,US,Tablet,0.2444,0.3667,3.4012,C1008,2
2023-02-19,C1022,Camp_7,Email,AG_26,2712,2332,1984.36,3038.76,GB,Mobile,0.8599,0.8509,1.5314,C1022,26
2023-07-03,C1027,Camp_12,Facebook,AG_2,15887,3376,1703.59,1476.51,IN,Mobile,0.2125,0.5046,0.8667,C1027,7
2023-06-26,C1028,Camp_13,Twitter,AG_15,17259,4524,420.98,683.0,DE,Tablet,0.2621,0.0931,1.6224,C1028,27
2023-11-06,C1019,Camp_4,Email,AG_5,12306,1500,1861.54,3258.2,GB,Desktop,0.1219,1.241,1.7503,C1019,15
2023-05-16,C1019,Camp_4,Google,AG_17,8326,285,237.15,3692.99,GB,Desktop,0.0342,0.8321,15.5724,C1019,15
2023-01-23,C1001,Camp_1,Facebook,AG_14,14641,3495,1635.81,1578.14,IN,Desktop,0.2387,0.468,0.9647,C1001,25
2023-08-24,C1025,Camp_10,Google,AG_15,3252,3090,764.34,3224.16,DE,Mobile,0.9502,0.2474,4.2182,C1025,28
2023-10-02,C1022,Camp_7,Email,AG_19,1685,17,1756.56,1975.65,IN,Desktop,0.0101,103.3271,1.1247,C1022,26
2023-03-05,C1027,Camp_12,LinkedIn,AG_2,4043,768,1736.77,3566.03,US,Desktop,0.19,2.2614,2.0533,C1027,7
2023-07-13,C1009,Camp_9,LinkedIn,AG_18,19557,3057,1612.82,996.08,US,Desktop,0.1563,0.5276,0.6176,C1009,6
2023-02-10,C1019,Camp_4,Twitter,AG_15,1121,193,1581.11,4451.08,BR,Desktop,0.1722,8.1923,2.8152,C1019,15
2023-10-10,C1002,Camp_2,Twitter,AG_22,11753,2161,612.83,1437.05,FR,Desktop,0.1839,0.2836,2.3449,C1002,9
2023-05-31,C1025,Camp_10,Twitter,AG_26,10905,3293,166.43,1838.93,BR,Tablet,0.302,0.0505,11.0493,C1025,28
2023-11-18,C1025,Camp_10,Google,AG_10,13517,946,808.95,290.46,GB,Tablet,0.07,0.8551,0.3591,C1025,28
2023-11-13,C1006,Camp_6,Instagram,AG_24,8089,4926,351.18,557.56,BR,Mobile,0.609,0.0713,1.5877,C1006,10
2023-07-05,C1016,Camp_1,Instagram,AG_1,9792,3335,1391.43,2579.31,FR,Mobile,0.3406,0.4172,1.8537,C1016,21
2023-10-23,C1017,Camp_2,Instagram,AG_13,13090,4150,695.47,1337.96,BR,Mobile,0.317,0.1676,1.9238,C1017,20
2023-04-09,C1021,Camp_6,LinkedIn,AG_9,6973,4895,1951.34,4177.4,DE,Desktop,0.702,0.3986,2.1408,C1021,3
2023-12-27,C1015,Camp_15,LinkedIn,AG_27,5775,4873,1283.74,73.47,US,Tablet,0.8438,0.2634,0.0572,C1015,16
2023-02-05,C1030,Camp_15,Instagram,AG_1,261,161,1645.85,1895.47,FR,Desktop,0.6169,10.2227,1.1517,C1030,5
2023-01-24,C1009,Camp_9,Email,AG_24,4397,3451,269.39,1686.73,US,Desktop,0.7849,0.0781,6.2613,C1009,6
2023-12-05,C1006,Camp_6,Twitter,AG_7,1095,86,1724.72,96.64,US,Desktop,0.0785,20.0549,0.056,C1006,10
2023-04-27,C1019,Camp_4,Facebook,AG_19,11634,54,1845.9,621.84,US,Tablet,0.0046,34.1833,0.3369,C1019,15
2023-05-29,C1014,Camp_14,Email,AG_3,7729,1823,976.69,2068.21,IN,Desktop,0.2359,0.5358,2.1176,C1014,23
2023-02-10,C1021,Camp_6,Email,AG_2,1116,1031,1214.47,2464.32,FR,Tablet,0.9238,1.178,2.0291,C1021,3
2023-04-30,C1027,Camp_12,Instagram,AG_14,8629,832,1530.8,2021.45,GB,Tablet,0.0964,1.8399,1.3205,C1027,7
2023-02-21,C1016,Camp_1,Facebook,AG_12,17362,4408,353.8,2654.69,FR,Mobile,0.2539,0.0803,7.5034,C1016,21
2023-07-14,C1003,Camp_3,Instagram,AG_23,9368,2806,1007.62,2975.66,GB,Mobile,0.2995,0.3591,2.9532,C1003,8
2023-05-23,C1016,Camp_1,Facebook,AG_3,12285,2490,800.33,49.62,FR,Desktop,0.2027,0.3214,0.062,C1016,21
2023-08-21,C1012,Camp_12,Twitter,AG_18,6431,327,297.02,2320.48,FR,Mobile,0.0508,0.9083,7.8125,C1012,29
2023-11-22,C1014,Camp_14,Email,AG_2,8671,3310,738.23,4817.5,US,Desktop,0.3817,0.223,6.5257,C1014,23
2023-07-06,C1011,Camp_11,LinkedIn,AG_30,7308,3300,141.0,2595.16,GB,Tablet,0.4516,0.0427,18.4054,C1011,24
2023-03-25,C1011,Camp_11,Instagram,AG_29,5376,3675,56.49,3387.71,BR,Desktop,0.6836,0.0154,59.9701,C1011,24
2023-07-09,C1022,Camp_7,Instagram,AG_3,18546,3054,274.66,1559.32,GB,Tablet,0.1647,0.0899,5.6773,C1022,26
2023-07-01,C1004,Camp_4,Email,AG_30,16548,2143,1926.41,3869.96,GB,Desktop,0.1295,0.8989,2.0089,C1004,17
